country_code,postal_code,latitude,longitude,region_id
PAK,11161,33.5819,73.9806,Federal Capial &AJK::Sawar||Narali||Goi||Dhanwan
PAK,11170,33.4633,73.9229,Federal Capial &AJK::Fatehpur Thakiala
PAK,11171,33.4633,73.9229,Federal Capial &AJK::Dabsi||Jandrot||Datoot||Karela Majhan
PAK,11190,33.4633,73.9229,Federal Capial &AJK::Chowki Mong
PAK,11200,34.2264,73.1111,Federal Capial &AJK::Khui Ratta (A.K.)
PAK,11201,34.2264,73.1111,Federal Capial &AJK::Bihal||Manjwal Sharif||Ghaura||Mandhether||Ghian Gujran||Dhanna
PAK,11210,34.65,73.7667,Federal Capial &AJK::Seri
PAK,11211,32.5708,73.0981,Federal Capial &AJK::Dargoti||Andarla Kothera||Khor Rachhala||Bharot Gala
PAK,11220,30.25,72.2833,Federal Capial &AJK::Bal Brahmana
PAK,11221,30.25,72.2833,Federal Capial &AJK::Juna
PAK,11250,32.5708,73.0981,Federal Capial &AJK::Charhoi
PAK,11251,32.5708,73.0981,Federal Capial &AJK::Khankah Kothera
PAK,11260,33.2361,73.9,Federal Capial &AJK::Kala Dab
PAK,12000,33.6764,73.1105,Norhern Punajb Rawalpindi::Azad Pattan A.K.
PAK,12001,33.6764,73.1105,Norhern Punajb Rawalpindi::Barohi||Sawa
PAK,12010,33.7167,73.7,Federal Capial &AJK;Norhern Punajb Rawalpindi::Bong Colony||Palandri
PAK,12011,33.7167,73.7,Norhern Punajb Rawalpindi::Mungriot||Phalian||Jhenjal Hill||Sehr Hafizabad||Jhanda Cagla||Biliannar||Namb||Betran||Dhar Dharachn||Dhar Dharachb||Kuliah Bazar||Panthal
PAK,12030,31.5292,71.2167,Norhern Punajb Rawalpindi::Barian
PAK,12070,33.6764,73.1105,Norhern Punajb Rawalpindi::Nalian
PAK,12071,33.6764,73.1105,Norhern Punajb Rawalpindi::Gohr Bazar||Sehr Hajnal Kot||Sehr Bosata||Manoota
PAK,12080,33.7611,73.7583,Federal Capial &AJK::Tarar Khel
PAK,12081,34.3505,73.3294,Federal Capial &AJK::Habib Abad||Tangi Gala||Natha Gala||Narrian||Jandali||Barriot||Garala||Anhari||Darbar Sharif Narian
PAK,12090,33.6764,73.1105,Federal Capial &AJK::Qillan
PAK,12100,30.631,71.5611,Federal Capial &AJK::Baithak Bazar
PAK,12110,28.4,69.9333,Federal Capial &AJK::Rahimabad
PAK,12120,28.2458,68.3861,Federal Capial &AJK::Baluch
PAK,12121,28.2458,68.3861,Federal Capial &AJK::Chamba Gali||Gran Dhamikan
PAK,12130,30.631,71.5611,Federal Capial &AJK::Pakhonar
PAK,12150,30.631,71.5611,Federal Capial &AJK::Gala Kaniyata
PAK,12151,30.631,71.5611,Federal Capial &AJK::Hamruta||Char Biar||Kot Gala Kawali
PAK,12160,28.4833,70.2236,Federal Capial &AJK::Hajeera
PAK,12161,28.4833,70.2236,Federal Capial &AJK::Akramabad||Sarrari||Darikot||Kathira||Aakhorban||Karichroon||Devi Gali||Bessari||Narian
PAK,12170,33.7333,73.9597,Federal Capial &AJK::Maindla
PAK,12171,30.1076,70.8458,Federal Capial &AJK::Kakuta||Ghambir||Tanda||Tatrinote
PAK,12174,33.65,73.9833,Federal Capial &AJK::Sehra
PAK,12175,31.8997,72.4087,Federal Capial &AJK::Darra Sher Khan
PAK,12180,33.6833,73.9361,Federal Capial &AJK::Mandhole
PAK,12181,26.9167,68.0333,Federal Capial &AJK::Thai||Thandi Kassi
PAK,12184,30.7514,73.8361,Federal Capial &AJK::Rakkar
PAK,12200,33.8778,74.0333,Federal Capial &AJK::Abbas Pur
PAK,12201,33.8778,74.0333,Federal Capial &AJK::Gogdar||Chirikot||Palangi||Tangeraam
PAK,12210,32.3338,73.0682,Federal Capial &AJK::Kahoota(A.K)
PAK,12211,32.3338,73.0682,Federal Capial &AJK::Suli||Kalali||Kangran||Aliabad||Mandher||Khurshid Abad||Degwar Terwan||Bassian||Behdi||Tangari
PAK,12250,33.8139,73.8514,Federal Capial &AJK::Khaigala
PAK,12251,33.8139,73.8514,Federal Capial &AJK::Dothan||Kohkot||Ban Baikh Bazar||Alisojal
PAK,12260,33.6913,73.1664,NWFP Peshawar;Federal Capial &AJK::Jewar||Chotta Gala
PAK,12261,32.9048,73.4074,Federal Capial &AJK::Gali Bazar Jandali||Banjoosa
PAK,12300,32.65,73.5167,Federal Capial &AJK::Mong
PAK,12301,33.7181,73.7833,Federal Capial &AJK::Androte||Pattan Sher Khan||Islampura||Muslinabad
PAK,12310,31.8913,72.4669,Federal Capial &AJK::Thorar
PAK,12311,30.4972,71.3876,Federal Capial &AJK::Azizabad||Nur||Tian||Bossa Gala||Bhalgran Surdari
PAK,12320,31.8913,72.4669,Federal Capial &AJK::Rehera
PAK,12330,31.8913,72.4669,Federal Capial &AJK::Lunjgran
PAK,12331,31.8913,72.4669,Federal Capial &AJK::Chappri Bazar
PAK,12350,31.0295,71.6782,Federal Capial &AJK::Rawalakot Gpo
PAK,12351,31.0295,71.6782,Federal Capial &AJK::Kharik||Tarar||Hussain Kot||Dhamni||Shujahabad||Chitra Topi||Pakgali||Singola||Drake||Cherh
PAK,12380,31.8913,72.4669,Federal Capial &AJK::Chak Dhamni
PAK,12400,32.4333,72.3681,Federal Capial &AJK::Mohri Farman Shah
PAK,12410,32.4333,72.3681,Federal Capial &AJK::Hurnamaira
PAK,12411,32.4333,72.3681,Federal Capial &AJK::Sanghar Bazar
PAK,12420,32.4333,72.3681,Federal Capial &AJK::Paniola
PAK,12421,32.4333,72.3681,Federal Capial &AJK::Jandala||Thalla||Musta Nara||Bana Kha||Jandathi Bazar||Bengion||Khud Bazar
PAK,12430,32.4333,72.3681,Federal Capial &AJK::Pachiot
PAK,12440,32.4333,72.3681,Federal Capial &AJK::Datoot
PAK,12441,32.4333,72.3681,Federal Capial &AJK::Sambalri Gala||Behari
PAK,12460,32.4333,72.3681,Federal Capial &AJK::Arja Apo
PAK,12470,32.4333,72.3681,Federal Capial &AJK::Mong Bajri
PAK,12480,32.4333,72.3681,Federal Capial &AJK::Harighel
PAK,12500,33.4903,73.9938,Federal Capial &AJK::Bagh Gpo
PAK,12501,33.4903,73.9938,Federal Capial &AJK::Salian Maldayalan||Kharl Panayali||Dhondhar||Chattar No.2||Kotala||Chattar No.1||Banni Minhasan||Meiman Pura||Naryola||Paddar Gulsher Khan||Sudhan Gali||Upper Sudhan
PAK,12502,33.4903,73.9938,Federal Capial &AJK::Mallote
PAK,12503,33.4903,73.9938,Federal Capial &AJK::Thub||Bees Bagla||Jaglari
PAK,12510,34.0542,73.7556,Federal Capial &AJK::Birpani
PAK,12520,32.8295,73.5358,Federal Capial &AJK::Kharal Abbasian
PAK,12550,32.8295,73.5358,Federal Capial &AJK::Reera Bazar
PAK,12560,34.7736,71.9042,Federal Capial &AJK::Barikot
PAK,12570,32.8667,72.2,Federal Capial &AJK::Dhulli
PAK,12571,30.2833,72.4,Federal Capial &AJK::Raikot
PAK,12600,28.8197,62.765,Federal Capial &AJK::Dhirkot
PAK,12601,28.8197,62.765,Federal Capial &AJK::Hans Chowki||Ghani Abad||Jhala Bazar||Paddor Master Khan||Makhyala||Kanyati||Sangir Bathara||Jolie Cheer
PAK,12610,28.8197,62.765,Federal Capial &AJK::Rangla Apo
PAK,12620,28.8197,62.765,Federal Capial &AJK::Chirala
PAK,12621,28.8197,62.765,Federal Capial &AJK::Sohawa Sharif||Sikandar Abad||Seri Bandi||Donga Kahutter
PAK,12630,28.8197,62.765,Federal Capial &AJK::Chamankot
PAK,12631,28.8197,62.765,Federal Capial &AJK::Chamyati
PAK,12639,28.8197,62.765,NWFP Peshawar::Kundi||Isakhumari
PAK,13000,31.0667,72.8333,Federal Capial &AJK::Kohala
PAK,13001,32.625,72.15,Federal Capial &AJK::Bhan
PAK,13020,31.8458,72.4917,Federal Capial &AJK::Dana Kachilli
PAK,13021,31.8458,72.4917,Federal Capial &AJK::Kottarala||Rajpothi
PAK,13100,34.3042,73.5243,Federal Capial &AJK::Muzaffarabad Gpo
PAK,13101,34.3042,73.5243,Federal Capial &AJK::Ambore||Masina Kalan||Nambal||Rara||Pattan Khurd||Pattan Kalan||Langarpura||Khunbandi||Jessoa Bazar||Dhanni Bore||Chirkpura||Tarrachh Bazar||Soi Bazar||Salolbandi||Qulian Bazar||Phulair Bazar||Nagri Mujahidabad||Majoohan||Majhorte
PAK,13150,34.2903,73.6042,Federal Capial &AJK::Garahi Dupatta
PAK,13151,34.2903,73.6042,Federal Capial &AJK::Kakarwara||Saran||Phagwan Dopatta||Koomi Kot||Dachore Miran||Jhand Gran||Chattian
PAK,13161,34.477,73.7948,Federal Capial &AJK::Leepa
PAK,13170,36.3833,75.7833,Federal Capial &AJK::Chikar
