country_code,postal_code,latitude,longitude,region_id,source
che,3212,7.179,46.889,FR::Gurmels::Gurmels||Kleingurmels,cadastre
che,3213,7.1997,46.9013,FR::Gurmels;Kleinbösingen::Liebistorf||Kleinbösingen,cadastre
che,3214,7.2007,46.9326,FR::Ulmiz::3214,cadastre
che,3215,7.183,46.9383,FR::Gempenach;Murten::Gempenach||Büchslen||Lurtigen,cadastre
che,3216,7.1917,46.9543,FR::Ried bei Kerzers::Ried b. Kerzers||Agriswil,cadastre
che,3225,7.1421,46.9934,BE::Müntschemier::3225,cadastre
che,3226,7.1609,47.0091,BE::Treiten::3226,cadastre
che,3232,7.1019,47.0091,BE::Ins::3232,cadastre
che,3233,7.076,47.0268,BE::Tschugg::3233,cadastre
che,3234,7.1112,47.0338,BE::Vinelz::3234,cadastre
che,3235,7.0954,47.042,BE::Erlach::3235,cadastre
che,3236,7.0592,47.0146,BE::Gampelen::3236,cadastre
che,3237,7.1474,47.0223,BE::Brüttelen::3237,cadastre
che,3238,7.0496,47.0279,BE::Gals::3238,cadastre
che,3250,7.3075,47.0706,BE::Lyss::3250,cadastre
che,3251,7.4104,47.0861,BE::Wengi;Rapperswil (BE)::Ruppoldsried||Wengi b. Büren,cadastre
che,3252,7.2923,47.1001,BE::Worben::3252,cadastre
che,3253,7.3971,47.1117,SO::Schnottwil::3253,cadastre
che,3254,7.4401,47.0976,SO::Messen::Messen||Balm b. Messen,cadastre
che,3255,7.4099,47.0631,BE::Rapperswil (BE)::Rapperswil BE,cadastre
che,3256,7.4272,47.0533,BE::Rapperswil (BE)::Dieterswil||Bangerten b. Dieterswil||Seewil,cadastre
che,3257,7.3527,47.0681,BE::Grossaffoltern::Grossaffoltern||Ammerzwil BE,cadastre
che,3262,7.3354,47.0616,BE::Grossaffoltern::Suberg,cadastre
che,3263,7.3412,47.1066,BE::Büetigen::3263,cadastre
che,3264,7.3655,47.1069,BE::Diessbach bei Büren::Diessbach b. Büren,cadastre
che,3266,7.32,47.0485,BE::Seedorf (BE)::Wiler b. Seedorf,cadastre
che,3267,7.3111,47.0342,BE::Seedorf (BE)::Seedorf BE,cadastre
che,3268,7.2936,47.0268,BE::Seedorf (BE)::Lobsigen,cadastre
